customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-104458,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.91,4997.62,No
CUST-103023,Male,0,Yes,Yes,30,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.43,1771.84,No
CUST-105347,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.52,117.11,No
CUST-100830,Male,0,No,No,40,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,68.1,2703.63,No
CUST-105915,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.82,545.87,Yes
CUST-100131,Female,1,Yes,No,71,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),70.39,4998.3,No
CUST-103666,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,302.04,No
CUST-102142,Female,0,Yes,Yes,31,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,63.15,1969.88,No
CUST-105137,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,90.51,4091.7,No
CUST-102242,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),77.9,4615.91,No
CUST-106838,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.14,393.1,Yes
CUST-102395,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.08,1665.8,Yes
CUST-106660,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,76.18,396.96,Yes
CUST-102333,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.55,1251.17,No
CUST-104842,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.79,1524.78,No
CUST-106715,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,92.64,1367.36,No
CUST-106557,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.42,1963.0,No
CUST-100905,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),78.4,364.4,No
CUST-104705,Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,76.16,779.04,No
CUST-103925,Female,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,78.67,No
CUST-100213,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.63,99.73,No
CUST-100563,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,75.55,4308.32,No
CUST-105888,Female,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),75.96,4869.84,No
CUST-106942,Female,1,No,Yes,13,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),68.87,892.12,No
CUST-100712,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,78.78,78.78,Yes
CUST-105164,Male,0,Yes,Yes,22,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,54.89,1237.23,No
CUST-103971,Female,0,Yes,No,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,74.87,1713.25,No
CUST-104673,Female,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.06,127.94,No
CUST-105480,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.28,1445.19,Yes
CUST-100162,Male,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.61,935.77,Yes
CUST-101796,Female,1,No,No,30,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,52.6,1583.17,No
CUST-105549,Female,0,No,No,22,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),71.84,1577.48,Yes
CUST-100221,Male,0,Yes,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.91,824.83,No
CUST-105636,Male,0,No,No,70,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,56.2,3898.51,No
CUST-105176,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.63,1385.65,No
CUST-105637,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.07,667.39,No
CUST-102746,Male,1,No,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),82.04,4191.8,No
CUST-106479,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,87.78,1935.4,Yes
CUST-105298,Male,0,Yes,Yes,41,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,56.24,2301.05,No
CUST-104745,Male,0,No,No,20,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.6,1275.33,No
CUST-104600,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.88,1140.67,Yes
CUST-101350,Male,0,Yes,Yes,56,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),74.06,4128.17,No
