feature,coefficient,abs_coefficient
MonthlyCharges,0.39605422984336397,0.39605422984336397
Contract_Two year,-0.3844395231207052,0.3844395231207052
tenure,-0.3535125222389212,0.3535125222389212
Contract_Month-to-month,0.31339804778336194,0.31339804778336194
IsMonthToMonth_1,0.31339804778336194,0.31339804778336194
SeniorCitizen_1,0.2874494964164294,0.2874494964164294
Partner_Yes,-0.2806122770785307,0.2806122770785307
InternetService_DSL,-0.1958761108813135,0.1958761108813135
PaperlessBilling_Yes,0.17374575885905993,0.17374575885905993
TenureBucket_7-12mo,-0.16195580793357606,0.16195580793357606
PaymentMethod_Bank transfer (automatic),-0.15808087076809105,0.15808087076809105
TechSupport_Yes,-0.1531210166844971,0.1531210166844971
PaymentMethod_Electronic check,0.14201307819580491,0.14201307819580491
IsElectronicCheck_1,0.14201307819580491,0.14201307819580491
InternetService_Fiber optic,0.13582038450355344,0.13582038450355344
TenureBucket_49-72mo,-0.11989503103928643,0.11989503103928643
TenureBucket_13-24mo,0.10955003994802272,0.10955003994802272
OnlineSecurity_Yes,-0.09895425420878912,0.09895425420878912
TechSupport_No,0.09306529030676308,0.09306529030676308
NumAddOnServices,-0.09297474555172569,0.09297474555172569
PaymentMethod_Mailed check,-0.07761138541801534,0.07761138541801534
StreamingTV_No internet service,-0.07367699641668446,0.07367699641668446
OnlineBackup_No internet service,-0.07367699641668446,0.07367699641668446
TechSupport_No internet service,-0.07367699641668446,0.07367699641668446
StreamingMovies_No internet service,-0.07367699641668446,0.07367699641668446
DeviceProtection_No internet service,-0.07367699641668446,0.07367699641668446
InternetService_No,-0.07367699641668446,0.07367699641668446
OnlineSecurity_No internet service,-0.07367699641668446,0.07367699641668446
MultipleLines_No phone service,-0.07164361249513607,0.07164361249513607
MultipleLines_No,-0.0690030466479051,0.0690030466479051
DeviceProtection_Yes,-0.06620932013975349,0.06620932013975349
Contract_One year,-0.0626912474571152,0.0626912474571152
AvgMonthlySpend,0.062311255160854756,0.062311255160854756
PhoneService_Yes,-0.06208911029931104,0.06208911029931104
StreamingMovies_No,-0.05748609769472691,0.05748609769472691
StreamingTV_Yes,-0.054232131762343955,0.054232131762343955
PaymentMethod_Credit card (automatic),-0.040053544804088716,0.040053544804088716
OnlineBackup_Yes,-0.03944159681196685,0.03944159681196685
OnlineSecurity_No,0.03889852783106495,0.03889852783106495
Dependents_Yes,-0.02667915427247278,0.02667915427247278
TenureBucket_0-6mo,0.025607735919712642,0.025607735919712642
TotalCharges,-0.02474277759397969,0.02474277759397969
OnlineBackup_No,-0.020614129565774138,0.020614129565774138
gender_Male,-0.017071132876137204,0.017071132876137204
TenureBucket_25-48mo,0.012960340310730806,0.012960340310730806
MultipleLines_Yes,0.006913936348605456,0.006913936348605456
HasStreaming_1,0.0065742222843743975,0.0065742222843743975
DeviceProtection_No,0.006153593761997537,0.006153593761997537
StreamingTV_No,-0.0058235946153944165,0.0058235946153944165
StreamingMovies_Yes,-0.002569628683014485,0.002569628683014485
